exception_id,exception_type,domain,source_system,region,asset_class,missing_field_count,age_days,break_amount,price_movement_pct,duplicate_flag,currency_mismatch_flag,refresh_delay_hours,severity,root_cause,owner,sla_hours,resolution_label,created_at,sla_status,recurrence_count,is_high_value_break,predicted_exception_type,confidence_score,owner_recommendation,root_cause_hint,recommended_action,sme_review_flag,priority_score,explainability_summary,anomaly_score,anomaly_flag,reason_code,severity_recommendation
EXC0000000,Position Reconciliation Break,Positions,Bloomberg,Americas,Derivative,1,19,244822.88,1.8,0,0,14,Critical,Position Reconciliation Break pattern detected from source controls,Reconciliation,8,Resolved,2026-04-13,Breached,32,1,Position Reconciliation Break,0.87,Reconciliation,Most similar historical pattern: Position Reconciliation Break,"Compare IBOR, ABOR, and custodian balances; prioritize material value gaps.",False,82.2,"Position Reconciliation Break in Positions from Bloomberg is ranked Critical because the item is 19 days old, has a break amount of 244822.88, and carries confidence 0.87.",0.6349,True,High-value reconciliation break,High
EXC0000001,Missing Client Mapping,Client Data,Aladdin,Americas,Corporate Bond,2,20,2065.98,0.71,0,0,15,High,Missing Client Mapping pattern detected from source controls,Client Data Ops,24,Resolved,2026-04-15,Breached,11,0,Missing Client Mapping,0.965,Client Data Ops,Most similar historical pattern: Missing Client Mapping,Route to client-data operations to complete portfolio and account mapping.,False,52.2,"Missing Client Mapping in Client Data from Aladdin is ranked High because the item is 20 days old, has a break amount of 2065.98, and carries confidence 0.965.",0.1265,False,Aging unresolved item,High
EXC0000002,Missing Client Mapping,Client Data,ABOR,APAC,Government Bond,1,21,1353.37,-3.61,0,0,12,Medium,Missing Client Mapping pattern detected from source controls,Client Data Ops,48,Open,2026-04-14,Breached,18,0,Missing Client Mapping,0.884,Client Data Ops,Most similar historical pattern: Missing Client Mapping,Route to client-data operations to complete portfolio and account mapping.,False,44.5,"Missing Client Mapping in Client Data from ABOR is ranked Medium because the item is 21 days old, has a break amount of 1353.37, and carries confidence 0.884.",0.3013,False,Aging unresolved item,Medium
EXC0000003,Position Reconciliation Break,Positions,Bloomberg,APAC,ETF,0,11,37258.03,-2.72,0,0,1,High,Position Reconciliation Break pattern detected from source controls,Reconciliation,24,Resolved,2026-05-15,Breached,32,0,Position Reconciliation Break,0.862,Reconciliation,Most similar historical pattern: Position Reconciliation Break,"Compare IBOR, ABOR, and custodian balances; prioritize material value gaps.",False,56.9,"Position Reconciliation Break in Positions from Bloomberg is ranked High because the item is 11 days old, has a break amount of 37258.03, and carries confidence 0.862.",0.2482,False,Multi-factor isolation signal,High
EXC0000004,Unknown / Needs SME Review,Reference Data,Refinitiv,EMEA,Equity,1,18,1341.89,8.49,0,0,4,Medium,Unknown / Needs SME Review pattern detected from source controls,Reference Data Ops,48,Resolved,2026-05-04,Breached,11,0,Unknown / Needs SME Review,0.628,Reference Data Ops,Most similar historical pattern: Unknown / Needs SME Review,Send to SME review with source evidence and model explanation.,True,46.8,"Unknown / Needs SME Review in Reference Data from Refinitiv is ranked Medium because the item is 18 days old, has a break amount of 1341.89, and carries confidence 0.628.",0.235,False,Aging unresolved item,Medium
EXC0000005,Stale Price,Pricing,Custodian,EMEA,Corporate Bond,1,19,4559.23,3.45,0,0,38,High,Stale Price pattern detected from source controls,Pricing Control,24,Resolved,2026-04-08,Breached,21,0,Stale Price,0.921,Pricing Control,Most similar historical pattern: Stale Price,"Check vendor price history, compare secondary source, and escalate material moves.",False,53.2,"Stale Price in Pricing from Custodian is ranked High because the item is 19 days old, has a break amount of 4559.23, and carries confidence 0.921.",0.3346,False,Aging unresolved item,High
EXC0000006,Missing Reference Data,Reference Data,Aladdin,Americas,ETF,1,6,3452.66,4.75,0,0,13,Medium,Missing Reference Data pattern detected from source controls,Reference Data Ops,48,Resolved,2026-05-04,Breached,22,0,Unknown / Needs SME Review,0.508,Reference Data Ops,Most similar historical pattern: Unknown / Needs SME Review,Send to SME review with source evidence and model explanation.,True,48.6,"Unknown / Needs SME Review in Reference Data from Aladdin is ranked Medium because the item is 6 days old, has a break amount of 3452.66, and carries confidence 0.508.",0.0815,False,Multi-factor isolation signal,Medium
EXC0000007,Trade Match Break,Trades,Custodian,EMEA,ETF,0,2,27130.14,7.9,0,0,19,Medium,Trade Match Break pattern detected from source controls,Trade Support,48,Open,2026-03-23,Within SLA,24,0,Trade Match Break,0.747,Trade Support,Most similar historical pattern: Trade Match Break,Review counterparty economic fields and run fuzzy security/client match.,False,28.2,"Trade Match Break in Trades from Custodian is ranked Medium because the item is 2 days old, has a break amount of 27130.14, and carries confidence 0.747.",0.3105,False,Multi-factor isolation signal,Medium
EXC0000008,Missing Client Mapping,Client Data,Murex,Americas,ETF,3,8,882.11,0.71,0,0,1,Low,Missing Client Mapping pattern detected from source controls,Client Data Ops,72,Resolved,2026-05-15,Breached,12,0,Missing Client Mapping,0.976,Client Data Ops,Most similar historical pattern: Missing Client Mapping,Route to client-data operations to complete portfolio and account mapping.,False,34.5,"Missing Client Mapping in Client Data from Murex is ranked Low because the item is 8 days old, has a break amount of 882.11, and carries confidence 0.976.",0.0887,False,Multi-factor isolation signal,Low
EXC0000009,Missing Reference Data,Reference Data,SimCorp,APAC,Equity,3,14,609.29,1.27,0,0,3,Low,Missing Reference Data pattern detected from source controls,Reference Data Ops,72,Resolved,2026-04-29,Breached,15,0,Missing Reference Data,0.812,Reference Data Ops,Most similar historical pattern: Missing Reference Data,"Validate security master fields, enrich ISIN/ticker, and rerun downstream load.",False,36.3,"Missing Reference Data in Reference Data from SimCorp is ranked Low because the item is 14 days old, has a break amount of 609.29, and carries confidence 0.812.",0.0454,False,Aging unresolved item,Low
