exception_id,exception_type,domain,source_system,region,asset_class,missing_field_count,age_days,break_amount,price_movement_pct,duplicate_flag,currency_mismatch_flag,refresh_delay_hours,severity,root_cause,owner,sla_hours,resolution_label,created_at
EXC0000000,Position Reconciliation Break,Positions,Bloomberg,Americas,Derivative,1,19,244822.88,1.8,0,0,14,Critical,Position Reconciliation Break pattern detected from source controls,Reconciliation,8,Resolved,2026-04-13
EXC0000001,Missing Client Mapping,Client Data,Aladdin,Americas,Corporate Bond,2,20,2065.98,0.71,0,0,15,High,Missing Client Mapping pattern detected from source controls,Client Data Ops,24,Resolved,2026-04-15
EXC0000002,Missing Client Mapping,Client Data,ABOR,APAC,Government Bond,1,21,1353.37,-3.61,0,0,12,Medium,Missing Client Mapping pattern detected from source controls,Client Data Ops,48,Open,2026-04-14
EXC0000003,Position Reconciliation Break,Positions,Bloomberg,APAC,ETF,0,11,37258.03,-2.72,0,0,1,High,Position Reconciliation Break pattern detected from source controls,Reconciliation,24,Resolved,2026-05-15
EXC0000004,Unknown / Needs SME Review,Reference Data,Refinitiv,EMEA,Equity,1,18,1341.89,8.49,0,0,4,Medium,Unknown / Needs SME Review pattern detected from source controls,Reference Data Ops,48,Resolved,2026-05-04
EXC0000005,Stale Price,Pricing,Custodian,EMEA,Corporate Bond,1,19,4559.23,3.45,0,0,38,High,Stale Price pattern detected from source controls,Pricing Control,24,Resolved,2026-04-08
EXC0000006,Missing Reference Data,Reference Data,Aladdin,Americas,ETF,1,6,3452.66,4.75,0,0,13,Medium,Missing Reference Data pattern detected from source controls,Reference Data Ops,48,Resolved,2026-05-04
EXC0000007,Trade Match Break,Trades,Custodian,EMEA,ETF,0,2,27130.14,7.9,0,0,19,Medium,Trade Match Break pattern detected from source controls,Trade Support,48,Open,2026-03-23
EXC0000008,Missing Client Mapping,Client Data,Murex,Americas,ETF,3,8,882.11,0.71,0,0,1,Low,Missing Client Mapping pattern detected from source controls,Client Data Ops,72,Resolved,2026-05-15
EXC0000009,Missing Reference Data,Reference Data,SimCorp,APAC,Equity,3,14,609.29,1.27,0,0,3,Low,Missing Reference Data pattern detected from source controls,Reference Data Ops,72,Resolved,2026-04-29
EXC0000010,Position Reconciliation Break,Positions,Murex,EMEA,Corporate Bond,0,2,142843.68,-2.5,0,0,13,High,Position Reconciliation Break pattern detected from source controls,Reconciliation,24,Escalated,2026-04-28
EXC0000011,Position Reconciliation Break,Positions,Bloomberg,Americas,Derivative,1,14,68025.97,0.9,0,0,0,Critical,Position Reconciliation Break pattern detected from source controls,Reconciliation,8,Escalated,2026-05-12
EXC0000012,Missing Client Mapping,Client Data,Aladdin,Americas,Derivative,3,7,1856.83,0.83,0,0,1,Low,Missing Client Mapping pattern detected from source controls,Client Data Ops,72,Open,2026-03-21
EXC0000013,Delayed Source Load,Source Control,Refinitiv,EMEA,Government Bond,1,9,1073.75,0.64,0,0,49,Low,Delayed Source Load pattern detected from source controls,Source Systems,72,Open,2026-05-04
EXC0000014,Price Outlier,Pricing,SimCorp,EMEA,Government Bond,1,8,3649.12,14.69,0,0,13,Medium,Price Outlier pattern detected from source controls,Pricing Control,48,Resolved,2026-03-26
EXC0000015,Price Outlier,Pricing,Refinitiv,Americas,Equity,0,16,2459.2,29.58,0,0,19,Medium,Price Outlier pattern detected from source controls,Pricing Control,48,Resolved,2026-04-11
EXC0000016,Invalid Currency,Reference Data,SimCorp,EMEA,ETF,0,7,216.8,3.92,0,1,19,Low,Invalid Currency pattern detected from source controls,Reference Data Ops,72,Resolved,2026-04-16
EXC0000017,Delayed Source Load,Source Control,IBOR,APAC,Equity,0,10,1973.05,-1.43,0,0,49,Medium,Delayed Source Load pattern detected from source controls,Source Systems,48,Open,2026-03-21
EXC0000018,Stale Price,Pricing,Bloomberg,EMEA,Equity,1,13,3308.93,1.69,0,0,60,Medium,Stale Price pattern detected from source controls,Pricing Control,48,Resolved,2026-05-18
EXC0000019,Invalid Currency,Reference Data,IBOR,EMEA,Government Bond,1,18,2125.89,2.48,0,1,6,Medium,Invalid Currency pattern detected from source controls,Reference Data Ops,48,Resolved,2026-04-01
EXC0000020,Price Outlier,Pricing,SimCorp,EMEA,Derivative,0,10,2879.02,18.74,0,0,14,Medium,Price Outlier pattern detected from source controls,Pricing Control,48,Open,2026-03-29
